Date : 2022-09-09 16:18:27
Directory : d:\0_Projects\Link
Total : 383 files,  13345 codes, 473 comments, 976 blanks, all 14794 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        120 |     11,274 |        459 |        550 |     12,283 |
| XML        |         71 |      1,091 |          0 |        255 |      1,346 |
| JSON       |         96 |        614 |          0 |         74 |        688 |
| TypeScript |         95 |        358 |         14 |         95 |        467 |
| Markdown   |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        383 |     13,345 |        473 |        976 |     14,794 |
| components                                                                           |          2 |        222 |         26 |          5 |        253 |
| components\calendar                                                                  |          2 |        222 |         26 |          5 |        253 |
| images                                                                               |         25 |        100 |          0 |         25 |        125 |
| images\home                                                                          |         14 |         63 |          0 |         14 |         77 |
| images\member                                                                        |          1 |          5 |          0 |          1 |          6 |
| images\user                                                                          |          9 |         27 |          0 |          9 |         36 |
| miniprogram_npm                                                                      |        305 |      8,720 |         86 |        487 |      9,293 |
| miniprogram_npm\@vant                                                                |        305 |      8,720 |         86 |        487 |      9,293 |
| miniprogram_npm\@vant\weapp                                                          |        305 |      8,720 |         86 |        487 |      9,293 |
| miniprogram_npm\@vant\weapp\action-sheet                                             |          3 |         82 |          0 |          3 |         85 |
| miniprogram_npm\@vant\weapp\area                                                     |          4 |        246 |          3 |          5 |        254 |
| miniprogram_npm\@vant\weapp\button                                                   |          4 |        106 |          0 |         12 |        118 |
| miniprogram_npm\@vant\weapp\calendar                                                 |         14 |        794 |          9 |         40 |        843 |
| miniprogram_npm\@vant\weapp\calendar\components                                      |          7 |        274 |          1 |         19 |        294 |
| miniprogram_npm\@vant\weapp\calendar\components\header                               |          3 |         49 |          0 |          3 |         52 |
| miniprogram_npm\@vant\weapp\calendar\components\month                                |          4 |        225 |          1 |         16 |        242 |
| miniprogram_npm\@vant\weapp\card                                                     |          3 |         58 |          0 |          3 |         61 |
| miniprogram_npm\@vant\weapp\cell                                                     |          4 |         62 |          0 |          6 |         68 |
| miniprogram_npm\@vant\weapp\cell-group                                               |          3 |         17 |          0 |          3 |         20 |
| miniprogram_npm\@vant\weapp\checkbox                                                 |          4 |        102 |          0 |          8 |        110 |
| miniprogram_npm\@vant\weapp\checkbox-group                                           |          3 |         43 |          0 |          3 |         46 |
| miniprogram_npm\@vant\weapp\circle                                                   |          5 |        254 |          4 |          5 |        263 |
| miniprogram_npm\@vant\weapp\col                                                      |          4 |         30 |          0 |          7 |         37 |
| miniprogram_npm\@vant\weapp\collapse                                                 |          3 |         52 |          0 |          3 |         55 |
| miniprogram_npm\@vant\weapp\collapse-item                                            |          5 |        113 |          1 |          5 |        119 |
| miniprogram_npm\@vant\weapp\common                                                   |         12 |        382 |         11 |         12 |        405 |
| miniprogram_npm\@vant\weapp\config-provider                                          |          4 |         39 |          0 |          9 |         48 |
| miniprogram_npm\@vant\weapp\count-down                                               |          5 |        179 |          3 |          5 |        187 |
| miniprogram_npm\@vant\weapp\datetime-picker                                          |          3 |        333 |          3 |          3 |        339 |
| miniprogram_npm\@vant\weapp\definitions                                              |          2 |         28 |          1 |          2 |         31 |
| miniprogram_npm\@vant\weapp\dialog                                                   |          5 |        273 |          4 |          5 |        282 |
| miniprogram_npm\@vant\weapp\divider                                                  |          4 |         35 |          0 |          6 |         41 |
| miniprogram_npm\@vant\weapp\dropdown-item                                            |          5 |        123 |          0 |          5 |        128 |
| miniprogram_npm\@vant\weapp\dropdown-menu                                            |          4 |        135 |          0 |          6 |        141 |
| miniprogram_npm\@vant\weapp\empty                                                    |          4 |         28 |          0 |          8 |         36 |
| miniprogram_npm\@vant\weapp\field                                                    |          6 |        215 |          1 |          9 |        225 |
| miniprogram_npm\@vant\weapp\goods-action                                             |          3 |         21 |          0 |          3 |         24 |
| miniprogram_npm\@vant\weapp\goods-action-button                                      |          3 |         45 |          0 |          3 |         48 |
| miniprogram_npm\@vant\weapp\goods-action-icon                                        |          3 |         35 |          0 |          3 |         38 |
| miniprogram_npm\@vant\weapp\grid                                                     |          4 |         72 |          0 |          6 |         78 |
| miniprogram_npm\@vant\weapp\grid-item                                                |          4 |         89 |          0 |          8 |         97 |
| miniprogram_npm\@vant\weapp\icon                                                     |          4 |         61 |          0 |         11 |         72 |
| miniprogram_npm\@vant\weapp\image                                                    |          4 |         98 |          0 |          8 |        106 |
| miniprogram_npm\@vant\weapp\index-anchor                                             |          3 |         32 |          0 |          3 |         35 |
| miniprogram_npm\@vant\weapp\index-bar                                                |          3 |        247 |          0 |          3 |        250 |
| miniprogram_npm\@vant\weapp\info                                                     |          3 |         14 |          0 |          3 |         17 |
| miniprogram_npm\@vant\weapp\loading                                                  |          4 |         41 |          0 |          7 |         48 |
| miniprogram_npm\@vant\weapp\mixins                                                   |         12 |        292 |          6 |         12 |        310 |
| miniprogram_npm\@vant\weapp\nav-bar                                                  |          4 |         90 |          0 |          6 |         96 |
| miniprogram_npm\@vant\weapp\notice-bar                                               |          4 |        145 |          0 |          6 |        151 |
| miniprogram_npm\@vant\weapp\notify                                                   |          6 |        174 |          0 |          9 |        183 |
| miniprogram_npm\@vant\weapp\overlay                                                  |          3 |         34 |          1 |          3 |         38 |
| miniprogram_npm\@vant\weapp\panel                                                    |          3 |         18 |          0 |          3 |         21 |
| miniprogram_npm\@vant\weapp\picker                                                   |          6 |        238 |         11 |         13 |        262 |
| miniprogram_npm\@vant\weapp\picker-column                                            |          4 |        156 |          0 |         10 |        166 |
| miniprogram_npm\@vant\weapp\popup                                                    |          4 |        115 |          0 |          6 |        121 |
| miniprogram_npm\@vant\weapp\progress                                                 |          4 |         90 |          0 |          9 |         99 |
